ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07643;2020-09-29T23:00:00+02:00;101800;80.0;3;60;2.6;286.95;284.65;86;60000.0;0;;;;;;;;;101700.0;;;;;;;;;;;;4.6;-10.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;13.800000000000011;;;;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2020-09-10T08:00:00+02:00;101720;-60.0;8;350;1.9;290.75;289.45;92;17240.0;0;;;90.0;7;2250.0;;;;101630.0;;;-470.0;289.75;;295.95;;289.05;;;2.4;2.4;-10.0;;;;;0.0;0.0;0.0;0.0;-0.1;;;;;2.0;;2160.0;3.0;;2820.0;5.0;;3960.0;;;;43.577, 3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;17.600000000000023;16.600000000000023;;22.80000000000001;;15.900000000000034;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2020-09-11T11:00:00+02:00;101410;100.0;3;160;1.9;296.95;289.95;65;60000.0;0;;;;0;;;;;101320.0;;;-420.0;;;;;289.95;;;3.1;3.1;-10.0;;;;;0.0;0.0;0.0;0.0;0.2;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;23.80000000000001;;;;;16.80000000000001;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2020-09-27T05:00:00+02:00;100750;-50.0;5;290;6.3;283.55;276.55;62;60000.0;0;;;;0;;;;;100650.0;;;-570.0;;;;;283.05;;;8.7;11.7;-10.0;;;;;0.0;0.0;-0.1;0.4;0.4;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;10.400000000000034;;;;;9.900000000000034;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2020-09-26T11:00:00+02:00;101200;-50.0;8;290;9.8;289.25;275.95;41;40000.0;0;;;;;;;;;101100.0;;;;;;;;;;;15.9;17.5;-10.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;16.100000000000023;;;;;;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2020-10-06T23:00:00+02:00;101620;140.0;2;250;6.7;292.45;287.45;73;60000.0;0;;;90.0;7;1750.0;;;;101530.0;;;-160.0;;;;;290.05;;;9.5;10.7;-10.0;;;;;0.0;0.0;0.0;0.0;-0.1;;;;;2.0;;1680.0;3.0;;2580.0;7.0;;5340.0;;;;43.577, 3.963167;MONTPELLIER;En hausse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;19.30000000000001;;;;;16.900000000000034;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;10
07643;2020-09-10T11:00:00+02:00;101830;110.0;3;150;2.6;294.05;290.05;78;19990.0;0;;;100.0;8;2580.0;;;;101740.0;;;-440.0;;;;;289.05;;;3.9;4.3;-10.0;;;;;0.0;0.0;0.0;0.0;-0.1;;;;;8.0;;2580.0;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;20.900000000000034;;;;;15.900000000000034;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2020-09-23T17:00:00+02:00;101000;-110.0;6;190;4.1;296.45;290.25;68;37450.0;0;;;;0;;;;;100910.0;;;-260.0;;;;;290.15;;;6.3;6.7;-10.0;;;;;0.0;0.0;0.0;0.2;7.5;;;;;;;;;;;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;23.30000000000001;;;;;17.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;9
07643;2020-10-01T20:00:00+02:00;100620;-50.0;6;290;1.9;293.85;283.35;51;60000.0;0;;;100.0;6;1250.0;;;;100530.0;;;-710.0;287.55;;295.75;;288.15;;;3.0;6.1;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;6.0;;1410.0;8.0;;3120.0;;;;;;;43.577, 3.963167;MONTPELLIER;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;20.700000000000045;14.400000000000034;;22.600000000000023;;15.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;10
07643;2020-10-04T17:00:00+02:00;100320;-30.0;8;310;6.0;291.45;281.45;52;39000.0;0;;;;1;2250.0;;;;100230.0;;;320.0;;;;;284.15;;;8.9;9.0;-10.0;;;;;-0.1;0.2;0.2;0.2;0.2;;;;;1.0;;2400.0;;;;;;;;;;43.577, 3.963167;MONTPELLIER;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.30000000000001;;;;;11.0;43.577;3.963167;2;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;10
